Title,Link,Date Added,Tag
Stay or Go,https://tinyurl.com/uvgtvqr,4/13/2020,"shelter, evacuation"
Should California consider Australia's wildfire policy?,https://tinyurl.com/qq3dwfb,4/13/2020,evacuation
Am I going to stay in the parking lot . . . while the fires burn around me?',https://tinyurl.com/rl675uu,4/13/2020,"shelter, evacuation"
Protective Actions in Wildfires: Evacuate or Shelter-in-Place?,https://tinyurl.com/wkvhbmp,4/13/2020,"shelter, evacuation"
Should I Stay or Should I Go Now? Or Should I Wait and See? Influences on Wildfire Evacuation Decisions,https://tinyurl.com/vz64g9a,4/13/2020,"shelter, evacuation, decision, risk"
Wildland Urban Interface Operating Principles,https://tinyurl.com/r5wz723,4/13/2020,"California, operations"
School Protection and Evacuation Plan (SPEP),https://tinyurl.com/t6jv6x3,4/13/2020,"California, evacuation, decision"
Forecasting Fire Weather in the United States,https://tinyurl.com/tzyg8ly,4/13/2020,"forecasting, weather"
Fire Weather Outlooks,https://www.spc.noaa.gov/products/fire_wx/,4/20/2020,"forecasting, weather"
North American Seasonal Fire Assessment and Outlook,https://tinyurl.com/uodj9la,4/13/2020,"forecasting, weather"
Firewise USA,https://tinyurl.com/txfmm8u,4/13/2020,"education, risk"
Wildfire Codes and Standards,https://tinyurl.com/v4b6p3e,4/13/2020,"education, codes"
"Ready, Set, Go: Behavioral Change and Those Who Make It Happen",https://tinyurl.com/rs4a2ym,4/13/2020,"education, behavior"
Inciweb,https://inciweb.nwcg.gov/,4/13/2020,geospatial
Fire Enterprise Geospatial Portal,https://egp.nwcg.gov/egp/,4/13/2020,geospatial
Wildfires Near Me,https://wildfiresnearme.wfmrda.com/user/login,4/13/2020,"geospatial, notification"
Latest Detected Fire Activity,https://fsapps.nwcg.gov/afm/current.php,4/13/2020,geospatial
Wildland Fire Assessment System,https://www.wfas.net/,4/13/2020,"geospatial, USA, Canada"
National Interagency Fire Center,https://www.nifc.gov/,4/13/2020,"geospatial, coordination"
Southeastern Fire Assessment Tool,https://www.nifc.gov/,4/13/2020,geospatial
Wildfires,https://tinyurl.com/sm7jvmt,4/13/2020,"geospatial, NASA"
Wildland Fire System,https://tinyurl.com/rn5xcvs,4/13/2020,"geospatial, USGS"
Wildland Fire,https://www.usda.gov/topics/disaster/wildland-fire,4/13/2020,"geospatial, USDA"
Wildland Fire Decision Support Tools,https://tinyurl.com/rm26mb4,4/13/2020,decision
International Association of Wildland Fire,https://www.iawfonline.org/about-us/,4/13/2020,organization
IFCA - Wildland Urban Interface,https://tinyurl.com/sxlv5tc,4/13/2020,"organization, chiefs"
The National Wildfire Coordinating Group,https://www.nwcg.gov/,4/13/2020,"organization, standards"
Geographic Area Coordination Centers,https://gacc.nifc.gov/index.php,4/13/2020,"coordination, geospatial"
Wildland Fire Lessons Learned Center,https://www.wildfirelessons.net/home,4/13/2020,"lessons, response"
Canadian Interagency Forest Fire Centre,https://www.ciffc.ca/,4/13/2020,"Canada, coordination"
Where will the West's next deadly wildfire strike? The risks are everywhere,https://tinyurl.com/y3pzt3rg,4/13/2020,"geospatial, risk"
Bushfire and Natural Hazards CRC,https://www.bnhcrc.com.au/home,4/13/2020,"Australia, research"
NSW Rural Fire Service,https://www.rfs.nsw.gov.au/,4/13/2020,"Australia, geospatial"
Applying Australiaâ€™s Stay or Go Approach in the U.S. Would it work?,https://tinyurl.com/vu748om,4/13/2020,"Australia, evacuation, shelter"
Evacuation Planning,https://tinyurl.com/w36vt2n,4/13/2020,"Australia, evacuation, shelter"
Wildland Fire Incident Management Field Guide ,https://www.nwcg.gov/sites/default/files/publications/pms210.pdf,4/14/2020,"EVACUATION, SHELTER"
Interagency Coordination and Cooperation,https://www.nifc.gov/PUBLICATIONS/redbook/2020/Chapter08.pdf,4/14/2020,COORDINATION
Northwest Fire Science Consortium Publications Library,http://www.nwfirescience.org/library,4/14/20,RESEARCH
Should We Leave Now? Behavioral Factors in Evacuation Under Wildfire Threat,https://link.springer.com/article/10.1007/s10694-018-0753-8,4/14/20,"RESEARCH, EVACUATION, BEHAVIOR"
Coronavirus (COVID-19) Pandemic: Non-Congregate Sheltering,https://tinyurl.com/tpfu8ul,4/14/2020,"FEMA, SHELTER"
2019  Wildfire Risk Report Story Map - Corelogic,https://tinyurl.com/y8j9kuu9 ,4/15/2020,"RISK, GEOSPATIAL, CORE LOGIC"
Hurricane Evacuation Behavior,https://tinyurl.com/ybyx5khy,4/16/2020,"RESEARCH, EVACUATION"
2019  Wildfire Risk Report Story Map - Corelogic,https://tinyurl.com/ycqcb63n,4/16/2020,"RISK, CORELOGIC"
Canadian Red Cross Emergency Shelter Cot,https://tinyurl.com/y86mvz35,4/16/2020,"CANADA, CRC"
Spending the holidays in a Toronto shelter,https://tinyurl.com/yadcab9s,4/16/2020,CRC
Coronavirus (COVID-19) Pandemic: Non-Congregate Sheltering,https://tinyurl.com/tpfu8ul,4/16/2020,"FEMA, SHELTER, NON-CONGREGATE"